Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes
Email,Billy Causey,7/28/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.54433,-81.40851,no data,Looe Key SPA,no data,Bank Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,1-10%,no data,no data,no data,no data,no data,
Email,Billy Causey,7/28/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.56936,-81.33000,no data,Billy's Reef,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,1-10%,no data,no data,no data,no data,no data,
Email,Billy Causey,7/28/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.58620,-81.25047,no data,Bahia Honda,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,1-10%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,7/30/2015,no data,Key Largo,FL, Research,NOAA,25.11167,-80.30917,no data,Lil'Grecian Rocks,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,7/30/2015,no data,Key Largo,FL, Research,NOAA,25.05230,-80.33193,no data,Benwood,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,none,paling,Bleaching,no data,no data,no data,no data,no data,no data,no data,no data,no data,
Email,Lauri Maclaughlin,7/30/2015,no data,Key Largo,FL, Research,NOAA,25.14695,-80.25577,no data,City of Washington,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,none,no data,no data,no data,no data,no data,no data,no data,no data,fire coral,no data,no data,
Email, Danielle Dodge,8/1/2015,no data,Summerland Key,FL,Education,Order of the Arrow,24.54626,-81.40318,27,Looe Key SPA, Looe Key,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Some signs of white band and other disease but no bleaching and overall a
Email, Ben Bartels,8/2/2015,13:45,Big Pine Key,FL, Resident,Big Pine Key Resident,24.61863,-81.38034,9, patch E. of NFH,no data,Patch Reef,no data,90,87,no data,partly cloudy,YES,paling,none,paling,paling,none,none,none,51-75%,9,5,fire coral,no data,no data,
Email, Cindy Lewis,8/3/2015,18:00,Long Key,FL, Research, Keys Marine Lab,24.68188,-80.97092,25, Coffins Patch SPA, Pillar Patch,Patch Reef, 0-5 kts,88,88,90,partly cloudy,YES,paling,paling,Bleaching,paling,none,none,none,51-75%,25,20,fire coral,no data,no data," D cyl, M cav, C nat, P por, M mean, D lab, some octos, M mean, M alc, C nat Partial.  MCAV, DCY, BBD…DCYL WB"
Facebook, Kelli O'Donnell,8/4/2015,7:30,Summerland Key,FL, Resident,Lower Keys Resident,24.99980,-81.44386,35, Coral Restoration Foundation Nursery,no data,other/don't know,no data,no data,no data,86,clear,NO,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"While I did not see any paling or bleaching, there was a lot of white banddisease and death due to that disease on their staghorn corals."
In Person, Cory Walter,8/4/2015,10:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.54985,-81.37898,80, Hill's Research Site,no data,Deep Reef,no data,no data,no data,no data,no data,YES,paling,paling,paling,paling,paling,unknown,paling,31-50%,80,60,fire coral,no data,no data,
In Person, Cory Walter,8/5/2015,12:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.61628,-81.39023,15, Newfound Harbor SPA,no data,other/don't know,no data,no data,no data,no data,no data,NO,none,none,none,none,none,none,none,0%,no data,no data,fire coral,no data,no data,
Email, Lauri MacLaughlin,8/6/2015,10:30,Key Largo,FL, Research,NOAA,25.13963,-80.29403,10, Horseshoe Reef, H2,Patch Reef, 0-5 kts,no data,no data,no data,clear,YES,paling,none,Bleaching,none,partial bleaching,none,paling,1-10%,15,10,fire coral,no data,no data,"Brain coral (Dstrigosa shallow colony up by Apal north patch) bleached at Horseshoe (nearly white), and at Sand Island (all Dstr were paled). Those at Pillar coral at HS (by H2 buoy) - SPAWNED 8/3 9:15-9:25 pm, not bleached, observe spawning at HS (wasn't there to see if they also released).  "
Email, Trudy Ferraro,8/6/2015,9:00,Key Largo,FL,Research,FPS Pennekamp,25.04166,-80.42394,9, Three sisters,no data,Patch Reef, 10-15 kts,no data,86,86,no data,YES,paling,none,none,paling,none,none,paling,1-10%,9,9,no data,no data,no data,Some signs of white band and other disease but no bleaching and overall a very healthy reef
Email, Cindy Lewis,8/6/2015,14:00,Long Key,FL, Research, Keys Marine Lab,24.83770,-80.72849,20, Coral Gardens - Middle Keys,no data,Patch Reef, 0-5 kts,90,88,90,clear,YES,partial bleaching,none,Bleaching,partial bleaching,none,none,none,11-30%,20,15,no data,no data,no data,"as reported by visiting scientist while snorkeling:
bleached: D lab, P ast
pale: D lab, P ast"
Email, Lauri MacLaughlin,8/6/2015,10:00,Key Largo,FL, Research,NOAA,25.04636,-80.39649,21," Sand Island Reef, Key Largo",no data,Bank Reef, 5-10 kts,no data,no data,no data,clear,YES,paling,none,paling,paling,none,none,none,1-10%,21,15,fire coral,palythoa,no data,"Brain corals (D. strigosa) were paled (approx. 5 colonies in a cluster), and at least 2 colonies spawned 8/6 between 10:15-11:15, possibly up to 11:30 (still going off when I left to monitor Mfav/Orbicella.  White pox is visible on Apal, no spawning this night of 8/6/2015, but did spawn 8/4 pm.  One Mfav had partial paling - with a paled top, but the base was OK.  spawn) on 8/6 - not setting until 11:15 or later, releasing close to 11:30, and up to 12:30 pm. Several larger colonies did not set or spawn this night."
In Person, Cory Walter,8/7/2015,10:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.55290,-81.38015,25, Site P Outplant,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,none,paling,none,none,paling,1-10%,no data,no data,fire coral,no data,no data,
In Person, Cory Walter,8/7/2015,12:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.56760,-81.32977,no data, Site O outplant,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,paling,paling,none,none,none,1-10%,no data,no data,fire coral,palythoa,no data,
Email,David Bosch,8/8/2015,12:00,Marathon,FL, Resident,Captain Hooks Dive Center,24.68448,-80.96598,22, Coffins Patch SPA,no data,Bank Reef,no data,no data,91,no data,no data,YES,paling,no data,paling,paling,no data,no data,no data,1-10%,no data,no data,fire coral,no data,no data,
Email, Gabrielle Renchen,8/8/2015,11:00,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.71277,-80.94458,27, West Turtle Shoal, Eastern edge of patch reef,Patch Reef, Calm,90,no data,88,partly cloudy,YES,partial bleaching,none,Bleaching,paling,none,none,partial bleaching,11-30%,27,15,fire coral,palythoa,no data," Bleached: Colpophyllia natans, Pseudodiploria strigosa, Diploria lab.  Partially bleached:  Eusmilia fastigiana, Millepora complanata, Palythoa.  Paling..Mcav, Pcli, Palythoa"
Email,Lonny Anderson,8/9/2015,no data,Key West,FL,Research,Florida Keys National Marine Sanctuary,24.52573,-81.65139,no data,South of Geiger Key,no data,Mid-Channel Reef,no data,no data,no data,no data,no data,YES,paling,none,paling,none,none,none,none,1-10%,no data,no data,no data,no data,no data,
Email, Karen Neely,8/9/2015,no data,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.62079,-82.86737,20, Dry Tortugas National Park,Near Bush Key,other/don't know, 0-5 kts,no data,no data,82,no data,YES,partial bleaching,paling,paling,none,none,none,none,11-30%,20,5,fire coral,no data,no data,"Dendrogyra VERY pale, with some partial bleaching. A. palmata looked fine.  O. annularis, O. faveolata, D. strigosa, D. clivosa all pale. M. alcicornis quite bleached"
Facebook,Kelli O'Donnell,8/11/2015,no data,Summerland Key,FL, Resident,Lower Keys Resident,24.45350,-81.76633,no data,Cayman Wreck,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,
In Person,Cory Walter,8/11/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.52292,-81.51683,no data,American Shoal,no data,Bank Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,1-10%,no data,no data,no data,no data,no data,
Email,David Bosch,8/12/2015,no data,Marathon,FL, Resident,Captain Hooks Dive Center,24.62698,-81.09536,no data, Sombrero Reef SPA,no data,Bank Reef,no data,87,87,87,no data,YES,paling,paling,paling,no data,no data,no data,no data,1-10%,no data,no data,no data,no data,no data,
In Person, Cory Walter,8/12/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.54341,-81.41194,48, Looe Deep Reef,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,partial bleaching,paling,paling,paling,paling,11-30%,no data,no data,fire coral,no data,no data,
Email, Jessica Dockery,8/13/2015,13:00,Key Largo,FL,Education,Marine Resources,25.11167,-80.30917,10, Grecian Rocks, G2,Bank Reef, 5-10 kts,no data,86,86,partly cloudy,YES,paling,partial bleaching,paling,none,none,none,none,1-10%,10,4,palythoa,no data,no data,We outplanted more Acropora. I hope they survive!
Email, Mark Chiappone,8/14/2015,12:00,Miami,FL, Research, NSU-OC,25.36793,-80.16968,24, Biscayne National Park,Offshore of Caesar Creek,Patch Reef, 10-15 kts,83.1,84,84,no data,YES,paling,partial bleaching,paling,paling,partial bleaching,none,paling,no data,23,12,fire coral,no data,no data,"Mid-channel patch reef surveyed off of the Caesar Creek marker, southern Biscayne N.P., from 0942-1225 hours on 14AUG2015. The patch reef mound was mostly dominated by octocorals, with scattered remnants of Porites finger corals. Within two belt transects totaling 30 sq. meters, 18 stony coral taxa were observed, of which 14 taxa showed signs of colony paling or partial bleaching (white). Seven of 22 octocoral taxa had at least one instance of paling."
Email, Mark Chiappone,8/14/2015,13:13,Miami,FL, Research, NSU-OC,25.36743,-80.15213,34, Biscayne National Park,Pacific Reef Light,Patch Reef, 5-10 kts,81.9,84,84,mostly cloudy,YES,paling,none,paling,partial bleaching,partial bleaching,partial bleaching,paling,11-30%,34,27,fire coral,no data,no data,"Offshore patch reef mound west of Pacific Reef Light, southern Biscayne N.P., from 1313-1515 hrs. EST on 14AUG2015. The patch reef mound was mostly dominated by head corals and octocorals. Within two belt transects totaling 30 sq. meters in area, 21 stony coral taxa were observed, of which 12 taxa showed signs of colony paling or partial bleaching (white). Of the 16 octocoral taxa observed, two species exhibited signs of paling."
Email, Mark Chiappone,8/14/2015,15:40,Miami,FL, Research, NSU-OC,25.37257,-80.13728,41, Biscayne National Park,Pacific Reef Light,Deep Reef, 5-10 kts,84,84,84,partly cloudy,YES,paling,paling,none,partial bleaching,paling,none,none,1-10%,40,36,gorgonians,no data,no data,"Low-relief spur and groove surveyed just offshore of the Pacific Reef marker, southern Biscayne N.P., from 1542-1701 hrs. EST on 14AUG2015. The site was characterized by low-profile (< 1 m) coralline spurs dominated by turf algae and silt, with very low (< 2%) coral cover. Within two belt transects totaling 30 sq. meters, 12 stony coral taxa were observed, of which 8 taxa had at least one colony exhibiting signs of paling and one taxa exhibited signs of partial bleaching. Of the 17 octocoral taxa, only one (Plexaurella dichotoma) exhibited signs of paling."
Email, Mark Chiappone,8/15/2015,9:27,Miami,FL, Research, NSU-OC,25.45530,-80.14338,16, Biscayne National Park,Northwest of long reef,Patch Reef, 5-10 kts,82.4,84,84,mostly cloudy,YES,paling,paling,none,paling, Bleaching,none,none,11-30%,16,11,fire coral,no data,no data,"Mid-channel patch reef northwest of Long Reef, Biscayne N.P., from 0927-1117 hours on 15AUG2015. The patch reef was mostly dominated by octocorals and sponges, with a few scattered coral heads. Within two belt transects totaling 30 sq. meters, 14 stony coral taxa were observed, of which 7 taxa had at least one colony exhibiting signs of paling, 2 taxa had at least one colony exhibiting signs of partial bleaching, and 2 taxa had at least one colony showing signs of complete colony bleaching.  Only one (Erythropodium) of the 17 octocoral taxa exhibiting signs of paling."
Email, Mark Chiappone,8/15/2015,11:57,Miami,FL, Research, NSU-OC,25.46138,-80.11820,29, Biscayne National Park,Northwest of long reef,Hardbottom , 5-10 kts,83.8,84,84,cloudy,YES,paling,paling,none,paling,partial bleaching,none,none,1-10%,29,28,no data,no data,no data,"Low-relief hard-bottom surveyed northwest of Long Reef, Biscayne N.P., from 1157-1255 hrs. EST on 15AUG2015. The habitat was characterized by low profile (< 50 cm) patches of hard-bottom interspersed with sand and dominant by turf algae, sediment, cyanobacterial mats, and octocorals. Within two belt transects totaling 30 sq. meters, only 6 stony coral taxa were observed, of which three taxa had at least one colony exhibiting paling and one taxa had at least one colony exhibiting partial bleaching. None of the 12 octocoral taxa exhibited any signs of bleaching."
Email, Mark Chiappone,8/15/2015,13:42,Miami,FL, Research, NSU-OC,25.46658,-80.11098,50, Biscayne National Park,North of Long Reef,Deep Reef, 0-5 kts,81.1,84,84,partly cloudy,YES,partial bleaching, Bleaching,none,paling, Bleaching,none,none,1-10%,50,40,fire coral,no data,no data,"Low-relief spur and spur fore-reef habitat surveyed north of Long Reef, Biscayne N.P., from 1342-1517 hrs. EST on 15AUG2015. The site had strong current and ended at ~17 m depth in sand, dominated by algae, octocorals, and Xestospongia sponges. Within two belt transects totaling 30 sq. meters, 14 stony coral taxa were observed, of which 5 taxa had at least one colony exhibiting paling, 3 taxa had at least one colony exhibiting partial bleaching, and 2 taxa had at least one colony with total bleaching. In addition, there were several Meandrina, Dichocoenia, and Montastraea cavernosa colonies with either active white plague or recent death, presumably due to white plague. Except for Erythropodium, some of which was paling, none of the remaining 16 octocoral taxa exhibiting paling or bleaching."
Email, Mark Chiappone,8/15/2015,16:19,Miami,FL, Research, NSU-OC,25.43697,-80.12062,31, Biscayne National Park,Long Reef,Bank Reef, 5-10 kts,87.8,84,84,mostly cloudy,YES,paling,partial bleaching,paling,partial bleaching,partial bleaching,paling,none,11-30%,31,22,fire coral,no data,no data,"High-relief spur and groove habitat surveyed on the fore reef of Long Reef, Biscayne N.P., from 1619-1806 hrs. EST on 15AUG2015. The site had moderate to high-relief spurs dominated by fine turf and Dictyota algae. Within two belt transects totaling 30 sq. meters, 15 stony coral taxa were observed, of which 5 taxa had at least one colony exhibiting paling, 4 taxa had at least one colony exhibiting partial bleaching, and 1 taxa had at least one colony with total bleaching. In addition, there were several Meandrina colonies with either active white plague or recent death, presumably due to white plague. Except for Erythropodium, some of which was paling, none of the remaining 17 octocoral taxa exhibiting paling or bleaching."
Email, Mark Chiappone,8/16/2015,9:40,Miami,FL, Research, NSU-OC,25.62397,-80.09942,27, Biscayne National Park,North of Fowey Rocks,Patch Reef, 15-20 kts,84.6,85,85,partly cloudy,YES,paling,none,none,paling,none,none,none,1-10%,27,26,no data,no data,no data,"Offshore patch reef sampled north of Fowey Rocks, Biscayne N.P., from 0939-1058 hrs. EST on 16AUG2015. The site was characterized by low relief and dominance by octocorals and sponges, with relatively few and small stony corals. Within two belt transects totaling 30 sq. meters, 9 stony coral taxa were observed, of which 3 taxa had at least one colony exhibiting paling and 1 taxa had at least one colony exhibiting partial. None of the 20 octocoral taxa encountered were pale, partially bleached, or bleached."
Email, Mark Chiappone,8/16/2015,11:53,Miami,FL, Research, NSU-OC,25.59047,-80.09868,15, Biscayne National Park,Fowey Rocks,other/don't know, 15-20 kts,85.2,85,85,partly cloudy,YES,paling,paling,none,none,none,none,none,1-10%,15,14,no data,no data,no data,"Back-reef rubble habitat at Fowey Rocks Lighthouse, northern Biscayne N.P., from 1153-1242 hrs. EST on 16AUG2015. The site was characterized by unconsolidated rubble dominated by macroalgae, with a few small (< 6 cm) colonies of Porites and Siderastrea. Within two belt transects totaling 30 sq. meters, only 5 stony coral taxa were observed, of which only S. radians exhibited paling. None of the 6 octocoral taxa observed exhibited signs of paling, partial bleaching, or bleaching."
Email, Mark Chiappone,8/16/2015,13:31,Miami,FL, Research, NSU-OC,25.57537,-80.09935,29, Biscayne National Park,Brewsters Reef,Bank Reef, 10-15 kts,86,85,85,partly cloudy,YES,partial bleaching, Bleaching,none,partial bleaching,partial bleaching,none,none,11-30%,29,21,fire coral,no data,no data,"High-relief spur and groove habitat surveyed at Brewster Reef, south of Fowey Rocks Lighthouse, Biscayne N.P., from 1331-1534 hrs. EST on 16AUG2015. The site was characterized by very high profile (2-3 m) coralline spurs dominated mostly by algae and octocorals. Within two belt transects totaling 30 sq. meters, 13 stony coral taxa were observed, of which 4 taxa had at least one colony exhibiting paling, 3 taxa had at least one colony exhibiting partial bleaching, and 1 taxon had at least one colony with total bleaching. In addition, there were several colonies of Meandrina and Dichocoenia with either what appeared to be active white plague disease or were completely dead."
Email, Mark Chiappone,8/16/2015,16:26,Miami,FL, Research, NSU-OC,25.53630,-80.10377,15, Biscayne National Park,Star Reef,Hardbottom , 10-15 kts,87.8,85,85,partly cloudy,YES,paling,partial bleaching,paling,paling,partial bleaching,none,none,1-10%,15,11,fire coral,no data,no data,"Shallow low-relief hard-bottom habitat surveyed at Star Reef, Biscayne N.P., from 1626-1734 hrs. EST on 16AUG2015. The site is a wave-swept platform dominated by octocorals, especially sea fans, branching fire corals, and turf algae. Within two belt transects totaling 30 sq. meters, 9 stony coral taxa were observed, of which 2 taxa had at least one colony exhibiting paling and 4 taxa had at least one colony exhibiting partial bleaching. Colonies of Acropora cervicornis and Diploria strigosa were observed with either active white plague or recent death, presumably due to white plague."
Email, John Yundt-Pacheco,8/16/2015,no data,Key Largo,FL,Visitor, EcoKeys; Amoray,25.13744,-80.28916,no data, Key Largo Dry Rocks,buoy 6,Bank Reef, 10-15 kts,88,87,86,partly cloudy,YES,paling,paling,none,none,none,none,paling,1-10%,25,15,fire coral,no data,no data,Little bleaching except some paling/bleaching on fire coral
Email, John Yundt-Pacheco,8/16/2015,no data,Key Largo,FL,Visitor, EcoKeys; Amoray,25.13394,-80.29097,no data, Key Largo Dry Rocks,buoy 13,Bank Reef, 10-15 kts,88,87,86,partly cloudy,YES,paling,paling,none,paling,none,none,paling,1-10%,22,15,palythoa,fire coral,no data,some pale/bleaching on fire coral
Email, Mayra Yundt-Pacheco,8/16/2015,no data,Key Largo,FL,Visitor, EcoKeys; Amoray,25.13213,-80.29228,22, Key Largo Dry Rocks,buoy 13,Bank Reef, 10-15 kts,88,87,86,partly cloudy,YES,paling,paling,none,paling,none,none,paling,1-10%,22,15,fire coral,no data,no data,
Email, Mayra Yundt-Pacheco,8/16/2015,no data,Key Largo,FL,Visitor, EcoKeys; Amoray,25.12303,-80.29778,no data, Key Largo Dry Rocks,buoy 6,Bank Reef, 10-15 kts,88,87,86,partly cloudy,YES,paling,paling,none,none,none,none,paling,no data,25,15,fire coral,no data,no data,A lot of damsels
Email, Carlo Yundt-Pacheco,8/16/2015,no data,Key Largo,FL,Visitor, EcoKeys; Amoray,25.11929,-80.30017,21, Key Largo Dry Rocks,buoy 13,Bank Reef, 10-15 kts,88,87,86,partly cloudy,YES,paling,paling,none,paling,none,none,paling,1-10%,no data,no data,fire coral,no data,no data,
Email, Mark Chiappone,8/17/2015,10:08,Miami,FL, Research, NSU-OC,25.58627,-80.09433,33, Biscayne National Park,Fowey Rocks,Bank Reef, 5-10 kts,84.9,87.3,85,partly cloudy,YES,paling,paling,none,paling,partial bleaching,none,none,1-10%,33,29,no data,no data,no data,"Low-relief spur and spur fore-reef habitat surveyed southeast of Fowey Rocks Lighthouse, Biscayne N.P., from 1008-1111 hrs. EST on 17AUG2015. The site was dominated by mostly turf algae and sea plumes. Within two belt transects totaling 30 sq. meters, 9 stony coral taxa were observed, of which 5 taxa had at least one colony exhibiting paling and 2 taxa had at least one colony exhibiting partial bleaching."
Email, Mark Chiappone,8/17/2015,11:42,Miami,FL, Research, NSU-OC,25.58030,-80.09645,30, Biscayne National Park,South of Fowey Rocks,Patch Reef, 10-15 kts,85.3,87.1,85,partly cloudy,YES,paling,none,none,paling,partial bleaching,none,none,1-10%,30,28,palythoa,gorgonians,no data,"Low-relief spur and spur fore-reef habitat surveyed south of Fowey Rocks, Biscayne N.P., from 1142-1305 hrs. EST on 17AUG2015. The site had low to moderate relief, with the reef surface dominated by algae and octocorals. Within two belt transects totaling 30 sq. meters, 10 stony coral taxa were observed, of which 4 taxa had at least one colony exhibiting paling, 2 taxa had at least one colony exhibiting partial bleaching, and 1 taxon (S. radians) had at least one colony with total bleaching. Partial bleaching of Erythropodium and Palythoa were also observed."
Email, Mark Chiappone,8/17/2015,14:02,Miami,FL, Research, NSU-OC,25.57115,-80.10498,18, Biscayne National Park,Brewsters Reef,Bank Reef, 10-15 kts,85.6,87,85,partly cloudy,YES,paling,paling,none,paling,partial bleaching,none,none,1-10%,18,14,palythoa,no data,no data,"High-relief spur and groove habitat surveyed at Brewster Reef, south of Fowey Rocks, in northern Biscayne N.P., from 1402-1545 hrs. EST on 17AUG2015. The had high-relief coralline spurs (3 m) dominated by algae, Palythoa, and octocorals. Within two belt transects totaling 30 sq. meters, 9 stony coral taxa were observed, of which 5 taxa had at least one colony exhibiting paling, 1 taxon had at least one colony exhibiting partial bleaching, and 1 taxon had at least one colony with total bleaching."
Email, Mark Chiappone,8/17/2015,16:34,Miami,FL, Research, NSU-OC,25.48667,-80.11375,14, Biscayne National Park,Triumph Reef,other/don't know, 5-10 kts,85.8,87.7,87.7,partly cloudy,YES,paling,paling,none,paling,none,none,none,1-10%,14,13,palythoa,no data,no data,"Back-reef rubble habitat surveyed at Triumph Reef, Biscayne N.P., from 1634-1726  hrs. EST on 17AUG2015. The site was dominated by brown and green macroalgae, with a scattering of small Porites astreoides and P. porites colonies. Within two belt transects totaling 30 sq. meters, only 3 stony coral taxa were observed, of which 2 taxa (Porites astreoides and P. porites) had at least one colony exhibiting paling."
Email, Bill Ferrell,8/18/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.70023,-80.96400,20, MK 47,no data,Patch Reef, 5-10 kts,88,86,86,no data,YES,partial bleaching,partial bleaching,paling,partial bleaching,partial bleaching,paling,none,11-30%,20,10,fire coral,no data,no data,close to 50% of fire coral bleached.  20 to 40% porites porites  pale or bleached
Email,Bill Sharp,8/18/2015,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.75182,-81.26855,no data,Sandfly Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,Bleaching,no data,no data,no data,51-75%,no data,no data,no data,no data,no data,
Email, Mark Chiappone,8/18/2015,9:10,Miami,FL, Research, NSU-OC,25.39558,-80.12985,52, Biscayne National Park,South of Ajax Reef,Deep Reef, 5-10 kts,82.9,87.5,85,partly cloudy,YES,partial bleaching,partial bleaching,none,partial bleaching,partial bleaching,none,none,11-30%,52,43,fire coral,no data,no data,"Low-relief spur and groove habitat sampled along the deeper fore reef south of Ajax Reef, Biscayne National Park, from 0910-1035 hrs. EST on 18AUG2015. The site was characterized by low-profile coralline spurs (< 1 m) dominated by algae, sea plumes, and scattered Xestospongia sponges. Two belt transects totaling 30 sq. m in area yielded 19 stony coral taxa, of which 7 taxa had at least 1 colony that was pale and 8 taxa had at least 1 colony that was partially bleached (white)."
Email, Mark Chiappone,8/19/2015,9:42,Miami,FL, Research, NSU-OC,25.29780,-80.16480,41, Biscayne National Park,Whistle Buoy,Hardbottom , 10-15 kts,84.7,87.4,85,no data,YES,paling, Bleaching,paling,paling,none,none,none,1-10%,41,40,no data,no data,no data,"Low-relief hard-bottom habitat sampled just north of the Whistle Buoy, southeastern Biscayne National Park, from 0942-1051 hrs. EST on 19AUG2015. The site was characterized by low-profile hard-bottom dominated by algae, octocorals, and sponges. Two belt transects totaling 30 sq. m in area yielded 9 stony coral taxa, of which 3 taxa had at least 1 colony that was pale, 1 taxon had at least 1 colony that was partially bleached (white), and 2 taxa had at least 1 colony that was completely bleached. Active white plague and/or evidence of recent disease-related mortality was observed on colonies of Meandrina, Dichocoenia, and Diploria."
Email, Mark Chiappone,8/19/2015,11:31,Miami,FL, Research, NSU-OC,25.32713,-80.16243,36, Biscayne National Park,SW of Pacific Reef,Patch Reef, 10-15 kts,84.3,87.2,85,partly cloudy,YES,paling,partial bleaching,none,paling,none,none,none,1-10%,36,32,no data,no data,no data,"Offshore patch reef sampled southwest of Pacific Reef, southern Biscayne National Park, from 1131-1303 hrs. EST on 19AUG2015. The site was characterized as an offshore patch reef mound dominated mostly by algae, octocorals, and sponges. Two belt transects totaling 30 sq. m in area yielded 8 stony coral taxa, of which 1 taxon (M. cavernosa) had at least 1 colony that was pale, 1 taxon (P. porites) had at least 1 colony that was partially bleached (white), and 1 taxon (S. radians) had at least 1 colony that was completely bleached. Active white plague and/or evidence of recent disease-related mortality was observed on colonies of Meandrina and Dichocoenia."
Email, Mark Chiappone,8/19/2015,14:31,Miami,FL, Research, NSU-OC,25.32230,-80.18237,13, Biscayne National Park,NE of Turtle Rocks,Hardbottom , 10-15 kts,84.7,87.2,85,partly cloudy,YES,paling,paling,none,paling,partial bleaching,none,none,1-10%,13,8,fire coral,no data,no data,"Shallow low-relief hard-bottom habitat sampled northeast of the Turtle Rocks area, southern Biscayne National Park, from 1413-1550 hrs. EST on 19AUG2015. The site was characterized by wave-swept low-profile hard-bottom dominated by turf algae and octocorals, with scattered and mostly small hard corals. Two belt transects totaling 30 sq. m in area yielded 7 stony coral taxa, of which 3 taxa had at least 1 colony that was pale and 2 taxa had at least 1 colony that was partially bleached (partially white). Relatively healthy colonies of Acropora cervicornis were observed, along with one small patch of elkhorn coral. Active white plague and/or evidence of recent disease-related mortality was observed on colonies of Montastraea cavernosa."
Email, Mark Chiappone,8/19/2015,9:13,Miami,FL, Research, NSU-OC,25.35708,-80.14095,49, Biscayne National Park,South of Pacific Reef,Deep Reef, 5-10 kts,85,87.6,85,partly cloudy,YES,partial bleaching,paling,none,Bleaching, Bleaching,none,paling,11-30%,48,44,fire coral,no data,no data,"Low-relief spur and groove habitat on the fore reef slope sample south of Pacific Reef, Biscayne National Park, from 0913-1035 hrs. EST on 20AUG2015. The site was characterized by low-profile coralline spurs dominated by turf algae, brown algae, octocorals, and sponges. Two belt transects totaling 30 sq. m in area yielded 13 stony coral taxa, of which 5 taxa had at least 1 colony that was pale, 2 taxa had at least 1 colony that was partially bleached (white), and 2 taxa had at least 1 colony that was completely bleached."
Email,Alex Bylesky,8/20/2015,no data,Key West,FL,Education,Florida Keys Community College ,24.48202,-81.70658,no data,Western Sambos,no data,Bank Reef,no data,no data,no data,no data,no data,YES,paling,Bleaching,none,none,no data,no data,no data,76-100%,no data,no data,fire coral,palythoa,no data,
Email,Morgan Collins,8/20/2015,11:00,Big Pine Key,FL,Education,Order of the Arrow,24.54593,-81.40565,no data,Looe Key SPA,buoy 14,Bank Reef,no data,no data,no data,no data,partly cloudy,YES,paling,paling,none,none,paling,none,none,1-10%,15,7,no data,no data,no data,
Email,Jessica Levy,8/20/2015,no data,Key Largo,FL,Education,Coral Restoration Foundation,24.86238,-80.62347,no data, Alligator Reef SPA,no data,Bank Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,
